animalname,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true,1,
antelope,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,0,
bass,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4,
bear,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true,1,
boar,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
buffalo,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1,
calf,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1,
carp,false,false,true,false,false,true,false,true,true,false,false,true,0,true,true,false,4,
catfish,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4,
cavy,true,false,false,true,false,false,false,true,true,true,false,false,4,false,true,false,1,
cheetah,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
chicken,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2,
chub,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4,
clam,false,false,true,false,false,false,true,false,false,false,false,false,0,false,false,false,7,
crab,false,false,true,false,false,true,true,false,false,false,false,false,4,false,false,false,7,
crayfish,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false,7,
crow,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false,2,
deer,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1,
dogfish,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,4,
dolphin,false,false,false,true,false,true,true,true,true,true,false,true,0,true,false,true,1,
dove,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2,
duck,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,false,2,
elephant,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1,
flamingo,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,true,2,
flea,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,6,
frog,false,false,true,false,false,true,true,true,true,true,false,false,4,false,false,false,5,
frog,false,false,true,false,false,true,true,true,true,true,true,false,4,false,false,false,5,
fruitbat,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,1,
giraffe,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1,
girl,true,false,false,true,false,false,true,true,true,true,false,false,2,false,true,true,1,
gnat,false,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6,
goat,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1,
gorilla,true,false,false,true,false,false,false,true,true,true,false,false,2,false,false,true,1,
gull,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2,
haddock,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,4,
hamster,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,false,1,
hare,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,1,
hawk,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false,2,
herring,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4,
honeybee,true,false,true,false,true,false,false,false,false,true,true,false,6,false,true,false,6,
housefly,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6,
kiwi,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,false,2,
ladybird,false,false,true,false,true,false,true,false,false,true,false,false,6,false,false,false,6,
lark,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2,
leopard,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
lion,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
lobster,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false,7,
lynx,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
mink,true,false,false,true,false,true,true,true,true,true,false,false,4,true,false,true,1,
mole,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,1,
mongoose,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
moth,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6,
newt,false,false,true,false,false,true,true,true,true,true,false,false,4,true,false,false,5,
octopus,false,false,true,false,false,true,true,false,false,false,false,false,8,false,false,true,7,
opossum,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,1,
oryx,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1,
ostrich,false,true,true,false,false,false,false,false,true,true,false,false,2,true,false,true,2,
parakeet,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2,
penguin,false,true,true,false,false,true,true,false,true,true,false,false,2,true,false,true,2,
pheasant,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2,
pike,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,4,
piranha,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4,
pitviper,false,false,true,false,false,false,true,true,true,true,true,false,0,true,false,false,3,
platypus,true,false,true,true,false,true,true,false,true,true,false,false,4,true,false,true,1,
polecat,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
pony,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1,
porpoise,false,false,false,true,false,true,true,true,true,true,false,true,0,true,false,true,1,
puma,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
pussycat,true,false,false,true,false,false,true,true,true,true,false,false,4,true,true,true,1,
raccoon,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
reindeer,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1,
rhea,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,true,2,
scorpion,false,false,false,false,false,false,true,false,false,true,true,false,8,true,false,false,7,
seahorse,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,4,
seal,true,false,false,true,false,true,true,true,true,true,false,true,0,false,false,true,1,
sealion,true,false,false,true,false,true,true,true,true,true,false,true,2,true,false,true,1,
seasnake,false,false,false,false,false,true,true,true,true,false,true,false,0,true,false,false,3,
seawasp,false,false,true,false,false,true,true,false,false,false,true,false,0,false,false,false,7,
skimmer,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2,
skua,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2,
slowworm,false,false,true,false,false,false,true,true,true,true,false,false,0,true,false,false,3,
slug,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,7,
sole,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,4,
sparrow,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2,
squirrel,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,false,1,
starfish,false,false,true,false,false,true,true,false,false,false,false,false,5,false,false,false,7,
stingray,false,false,true,false,false,true,true,true,true,false,true,true,0,true,false,true,4,
swan,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,true,2,
termite,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,6,
toad,false,false,true,false,false,true,false,true,true,true,false,false,4,false,false,false,5,
tortoise,false,false,true,false,false,false,false,false,true,true,false,false,4,true,false,true,3,
tuatara,false,false,true,false,false,false,true,true,true,true,false,false,4,true,false,false,3,
tuna,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,4,
vampire,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,1,
vole,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,1,
vulture,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,true,2,
wallaby,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,true,1,
wasp,true,false,true,false,true,false,false,false,false,true,true,false,6,false,false,false,6,
wolf,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1,
worm,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,7,
wren,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2,
